# 自定义优先规则词表（PriorityWords）配置说明
# 编码格式：必须使用 UTF-8 编码存储
# 匹配机制：处理时采用【大小写敏感】的精确比对

# 【一、 基础语法格式】
# 格式要求：词条 [Tab分隔符] 拼音
# 如：你好	ni hao
# 1. 每行只能配置一个词条
# 2. 词条与读音之间使用单个Tab 键进行分隔 
# 3. 汉字拼音中的每个字拼音音节之间必须使用单个空格进行分隔，如ni hao
# 4. 支持使用 '#' 作为注释行的开头，允许使用空格排版，注释行不允许tab键，具体语法参考本页注释写法
# 5. 自动忽略空行、纯空格或tab行

# 【二、 重要注意事项】

# 1. 仅支持【纯中文词条】的注音
# 2. 不支持任何包含英文字母、数字或混合符号的词条。输入不会出现报错，但转换结果与预期不一致会出现谬误
# 3. 若本表中存在完全相同的词条，即保留第一条配置作为读音，默认忽略后续的重复词条
# 4. 此优先规则词表非强制要求搭配程序运行，但推荐配合使用。所有词条规则可自定义按需增删修改，预写规则用于辅助增强直接使用或作为自定义修改基础范本。



的确	di que
端的	duan di
标的	biao di
的哥	di ge
的姐	di jie
打的	da di
的士	di shi
面的	mian di
的卢	di lu
中的	zhong di
众矢之的	zhong shi zhi di
有的放矢	you di fang shi
波罗的海	bo luo di hai
无的放矢	wu di fang shi
一语破的	yi yu po di
阿胶	e jiao
阿谀	e yu
阿其所好	e qi suo hao
不阿	bu e
阿贵	e gui
山阿	shan e
阿房宫	e fang gong
阿耨	a nou
阿弥陀佛	a mi tuo fo
奇偶	ji ou
奇数	ji shu
饸饹	he le
发重了	fa chong le
重庆	chong qing
重新	chong xin
重复	chong fu
重组	chong zu
双重	shuang chong
重建	chong jian
重重	chong chong
重回	chong hui
多重	duo chong
重启	chong qi
重申	chong shen
重返	chong fan
重现	chong xian
重生	chong sheng
重打	chong da
重温	chong wen
重叠	chong die
重阳	chong yang
重塑	chong su
重振	chong zhen
重演	chong yan
重来	chong lai
重播	chong bo
重修	chong xiu
重装	chong zhuang
重围	chong wei
重写	chong xie
重整	chong zheng
重发	chong fa
重合	chong he
重提	chong ti
重获	chong huo
重设	chong she
重读	chong du
重放	chong fang
重婚	chong hun
重聚	chong ju
重唱	chong chang
重码	chong ma
重逢	chong feng
重置	chong zhi
重述	chong shu
重审	chong shen
重做	chong zuo
重名	chong ming
重洋	chong yang
重排	chong pai
重会	chong hui
重孙	chong sun
重版	chong ban
重连	chong lian
重霄	chong xiao
重试	chong shi
四重恩	si chong en
重楼	chong lou
二重奏	er chong zou
重命名	chong ming ming
四重奏	si chong zou
三重奏	san chong zou
两重性	liang chong xing
重定向	chong ding xiang
重蹈覆辙	chong dao fu zhe
重见天日	chong jian tian ri
重操旧业	chong cao jiu ye
破镜重圆	po jing chong yuan
重归于好	chong gui yu hao
重峦叠嶂	chong luan die zhang
重出江湖	chong chu jiang hu
山重水复	shan chong shui fu
重起炉灶	chong qi lu zao
日月重光	ri yue chong guang
重办	chong ban
重寄	chong ji
重落	chong luo
重适	chong shi
重弹	chong tan
重行	chong hang
重译	chong yi
重印	chong yin
重映	chong ying
重圆	chong yuan
重张	chong zhang
故伎重演	gu ji chong yan
重游	chong you
旧事重提	jiu shi chong ti
卷土重来	juan tu chong lai
重茬	chong cha
重出	chong chu
重茧	chong jian
重趼	chong jian
重九	chong jiu
重沓	chong ta
重文	chong wen
重午	chong wu
重言	chong yan
重样	chong yang
重音	chong yin
重瓣胃	chong ban wei
重眼皮	chong yan pi
重阳木	chong yang mu
重床叠屋	chong chuang die wu
重规叠矩	chong gui die ju
重楼飞阁	chong lou fei ge
重岩叠嶂	chong yan die zhang
重足而立	chong zu er li
重门击柝	chong men ji tuo
累屋重架	lei wu chong jia
重奏	chong zou
二重唱	er chong chang
九重霄	jiu chong xiao
